method,top1_accuracy,top5_accuracy,macro_f1,train_seconds,inference_seconds
SIFT_BoVW_SVM,0.0342,0.1106,0.02751873177470686,169.5810263339954,0.016085082999779843
resnet18_scratch,0.4198,0.6346,0.4128159896440475,,22.835379958036356
resnet18_pretrained,0.6602,0.833,0.6575780443543774,,22.989299790933728
