classifier,top1_accuracy,top5_accuracy,macro_f1,train_seconds,inference_seconds
Linear SVM (SGD),0.0342,0.1106,0.02751873177470686,169.5810263339954,0.016085082999779843
Random Forest,0.0204,0.0574,0.01595582516937276,391.59879641700536,0.7844429169927025
