metric,scratch_percent,pretrained_percent,improvement_points,relative_improvement_percent
Top-1 accuracy,41.980000000000004,66.02,24.039999999999992,57.26536445926629
Top-5 accuracy,63.46000000000001,83.3,19.83999999999999,31.26378821304756
Balanced accuracy,41.98,66.02,24.04,57.26536445926631
Macro precision,42.42356959861604,67.75129731895211,25.32772772033607,59.70201932550796
Macro recall,41.98,66.02,24.04,57.26536445926631
Macro F1,41.28159896440475,65.75780443543773,24.476205471032983,59.290836801495274
