true_class,scratch_accuracy,scratch_images,pretrained_accuracy,pretrained_images,scratch_percent,pretrained_percent,improvement_points,species
00820_Animalia_Arthropoda_Insecta_Hymenoptera_Vespidae_Monobia_quadridens,0.4,10,0.6,10,40.0,60.0,20.0,Monobia quadridens
00870_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Chrysoteuchia_topiarius,0.6,10,0.9,10,60.0,90.0,30.0,Chrysoteuchia topiarius
00915_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Palpita_quadristigmalis,0.9,10,1.0,10,90.0,100.0,10.0,Palpita quadristigmalis
00934_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Pyrausta_purpuralis,0.6,10,0.9,10,60.0,90.0,30.0,Pyrausta purpuralis
00937_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Pyrausta_volupialis,0.5,10,0.7,10,50.0,70.0,20.0,Pyrausta volupialis
00944_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Spoladea_recurvalis,0.7,10,0.8,10,70.0,80.0,10.0,Spoladea recurvalis
01002_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_neogama,0.4,10,0.9,10,40.0,90.0,50.0,Catocala neogama
01016_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Ctenucha_virginica,0.5,10,0.8,10,50.0,80.0,30.0,Ctenucha virginica
01039_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Halone_sejuncta,0.8,10,0.9,10,80.0,90.0,10.0,Halone sejuncta
01055_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Hypercompe_scribonia,0.3,10,0.6,10,30.0,60.0,30.0,Hypercompe scribonia
01078_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_indomita,0.1,10,0.8,10,10.0,80.0,70.0,Melipotis indomita
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,0.4,10,0.9,10,40.0,90.0,50.0,Melipotis jucunda
01085_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Mocis_marcida,0.5,10,0.9,10,50.0,90.0,40.0,Mocis marcida
01099_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Palthis_asopialis,0.7,10,0.9,10,70.0,90.0,20.0,Palthis asopialis
01106_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Perina_nuda,0.5,10,0.5,10,50.0,50.0,0.0,Perina nuda
01134_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Utetheisa_pulchella,0.8,10,0.8,10,80.0,80.0,0.0,Utetheisa pulchella
01136_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Virbia_laeta,0.6,10,0.8,10,60.0,80.0,20.0,Virbia laeta
01137_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Zale_horrida,0.7,10,0.9,10,70.0,90.0,20.0,Zale horrida
01153_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Aplocera_plagiata,0.4,10,1.0,10,40.0,100.0,60.0,Aplocera plagiata
01158_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Cabera_pusaria,0.3,10,0.9,10,30.0,90.0,60.0,Cabera pusaria
01180_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Crocallis_elinguaria,0.2,10,0.8,10,20.0,80.0,60.0,Crocallis elinguaria
01198_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Dysstroma_truncata,0.3,10,0.5,10,30.0,50.0,20.0,Dysstroma truncata
01216_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Eusarca_confusaria,0.6,10,0.9,10,60.0,90.0,30.0,Eusarca confusaria
01240_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Idaea_tacturata,0.6,10,0.9,10,60.0,90.0,30.0,Idaea tacturata
01252_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Lomographa_glomeraria,0.0,10,0.7,10,0.0,70.0,70.0,Lomographa glomeraria
01264_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Mellilla_xanthometata,0.2,10,0.5,10,20.0,50.0,30.0,Mellilla xanthometata
01284_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Peribatodes_rhomboidaria,0.5,10,0.8,10,50.0,80.0,30.0,Peribatodes rhomboidaria
01318_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Traminda_aventiaria,0.7,10,0.9,10,70.0,90.0,20.0,Traminda aventiaria
01339_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Atalopedes_campestris,0.2,10,0.5,10,20.0,50.0,30.0,Atalopedes campestris
01359_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_funeralis,0.6,10,0.8,10,60.0,80.0,20.0,Erynnis funeralis
01364_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Erynnis_tages,0.3,10,0.8,10,30.0,80.0,50.0,Erynnis tages
01395_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_sabuleti,0.1,10,0.4,10,10.0,40.0,30.0,Polites sabuleti
01397_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Polites_vibex,0.4,10,0.7,10,40.0,70.0,30.0,Polites vibex
01416_Animalia_Arthropoda_Insecta_Lepidoptera_Lasiocampidae_Lasiocampa_quercus,0.1,10,0.5,10,10.0,50.0,40.0,Lasiocampa quercus
01423_Animalia_Arthropoda_Insecta_Lepidoptera_Lasiocampidae_Tolype_laricis,0.5,10,0.8,10,50.0,80.0,30.0,Tolype laricis
01425_Animalia_Arthropoda_Insecta_Lepidoptera_Lasiocampidae_Trabala_vishnou,0.5,10,0.6,10,50.0,60.0,10.0,Trabala vishnou
01428_Animalia_Arthropoda_Insecta_Lepidoptera_Limacodidae_Apoda_y-inversum,0.5,10,0.9,10,50.0,90.0,40.0,Apoda y-inversum
01436_Animalia_Arthropoda_Insecta_Lepidoptera_Limacodidae_Prolimacodes_badia,0.5,10,0.5,10,50.0,50.0,0.0,Prolimacodes badia
01441_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Aricia_cramera,0.6,10,1.0,10,60.0,100.0,40.0,Aricia cramera
01493_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Leptotes_marina,0.1,10,0.9,10,10.0,90.0,80.0,Leptotes marina
01502_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Lycaena_heteronea,0.6,10,0.8,10,60.0,80.0,20.0,Lycaena heteronea
01537_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Talicada_nyseus,0.8,10,1.0,10,80.0,100.0,20.0,Talicada nyseus
01561_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Acronicta_vinnula,0.7,10,0.7,10,70.0,70.0,0.0,Acronicta vinnula
01564_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Agrotis_infusa,0.3,10,0.8,10,30.0,80.0,50.0,Agrotis infusa
01629_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Feralia_comstocki,0.9,10,1.0,10,90.0,100.0,10.0,Feralia comstocki
01632_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Helicoverpa_armigera,0.1,10,0.3,10,10.0,30.0,20.0,Helicoverpa armigera
01663_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Mythimna_unipuncta,0.3,10,0.8,10,30.0,80.0,50.0,Mythimna unipuncta
01672_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Orthodes_majuscula,0.5,10,0.8,10,50.0,80.0,30.0,Orthodes majuscula
01675_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Orthosia_hibisci,0.4,10,0.6,10,40.0,60.0,20.0,Orthosia hibisci
01688_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Polygrammate_hebraeicum,0.9,10,1.0,10,90.0,100.0,10.0,Polygrammate hebraeicum
01697_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Psychomorpha_epimenis,0.8,10,1.0,10,80.0,100.0,20.0,Psychomorpha epimenis
01711_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Sunira_bicolorago,0.3,10,0.6,10,30.0,60.0,30.0,Sunira bicolorago
01720_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Xerociris_wilsonii,0.5,10,0.9,10,50.0,90.0,40.0,Xerociris wilsonii
