model,best_epoch,hours_to_best_checkpoint,total_executed_hours,test_inference_seconds,images_per_second,device
scratch,53,3.763928628877879,4.240064145220677,22.835379958036356,218.95847624117906,mps
pretrained,22,1.5647178650703346,2.130999089595344,22.989299790933728,217.49248761251292,mps
