model,top1_accuracy,overall_accuracy,top5_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,test_images,inference_seconds,images_per_second,selected_C,validation_macro_f1,feature_dimension,selected_fit_seconds,tuning_fit_seconds,feature_extraction_seconds
HOG,0.0196,0.0196,0.062,0.019600000000000003,0.021084970889047278,0.019600000000000003,0.017779577717262646,5000,0.2746901250066003,18202.328896533356,1.0,0.01939981737158149,8100,202.22704962499847,768.3965468759998,66.30039687399403
HSV,0.0194,0.0194,0.0696,0.0194,0.018167972009321267,0.0194,0.01580166804022742,5000,0.009535042001516558,524381.5390854854,10.0,0.017655501455754112,64,2.4214715420093853,10.499899124988588,42.06553066600463
HOG + HSV,0.0172,0.0172,0.0676,0.0172,0.01843690916926211,0.0172,0.016702357760743816,5000,0.5169609999866225,9671.909486652545,10.0,0.02210941578217809,8164,208.0050055419997,843.3928439599986,88.00830695798504
