C,fit_seconds,validation_seconds,training_accuracy,validation_accuracy,training_macro_f1,validation_macro_f1,training_hinge_loss,validation_hinge_loss
0.01,173.9548228340136,0.2668176669976674,0.35935,0.0182,0.37362060723638363,0.010497035768167011,36.10427474975586,98.7433090209961
0.1,192.78536291699857,0.2599226250022184,0.4687,0.019,0.49263706616427283,0.014369741499995493,206.66134643554688,763.2216796875
1.0,202.22704962499847,0.2868082909990335,0.6754,0.0202,0.6895257515288088,0.01939981737158149,679.4097900390625,5066.40380859375
10.0,199.42931149998913,0.255168791001779,0.9639,0.0174,0.9641241936670258,0.01681450584123525,161.5293426513672,23297.412109375
