C,fit_seconds,validation_seconds,training_accuracy,validation_accuracy,training_macro_f1,validation_macro_f1,training_hinge_loss,validation_hinge_loss
0.01,2.6986529999994673,0.01086979199317284,0.0087,0.007,0.003113045799226399,0.001588441427584132,17.32598876953125,17.977155685424805
0.1,2.627990291992319,0.00985629198839888,0.01525,0.0098,0.008062902185540975,0.0038890009882750053,70.57015991210938,75.86511993408203
1.0,2.751784290987416,0.008403999992879108,0.03425,0.019,0.026347060849344097,0.01063100483424978,180.5209197998047,219.08407592773438
10.0,2.4214715420093853,0.007975540996994823,0.0424,0.0214,0.03841979180211316,0.017655501455754112,405.83538818359375,547.2425537109375
