C,fit_seconds,validation_seconds,training_accuracy,validation_accuracy,training_macro_f1,validation_macro_f1,training_hinge_loss,validation_hinge_loss
0.01,205.4449410840025,0.267494165993412,0.36145,0.0224,0.38260005411766923,0.01460775442831017,36.54340744018555,99.1573486328125
0.1,224.397181584005,0.28756512500694953,0.49,0.0192,0.5147809886207547,0.013772403947913904,199.71182250976562,753.9213256835938
1.0,205.54571574999136,0.3352301249979064,0.69245,0.0206,0.7055524068378849,0.019052663373931522,625.434814453125,4942.84716796875
10.0,208.0050055419997,0.5099808749946533,0.9694,0.0226,0.9695833233322465,0.02210941578217809,135.11936950683594,22795.71875
